exchange,uptake,comment
EX_cpd00797(e),0,
EX_cpd17085(e),0,
EX_cpd00176(e),0,
EX_cpd00024(e),0,
EX_cpd00489(e),0,
EX_cpd00147(c),0,
EX_cpd00029(e),0,
EX_cpd00142(e),0,
EX_cpd00182(e),0,
EX_cpd11587(e),0,
EX_cpd11584(e),0,
EX_cpd11593(e),0,
EX_cpd11583(e),0,
EX_cpd11586(e),0,
EX_cpd11582(e),0,
EX_cpd01092(e),0,
EX_cpd00162(e),0,
EX_cpd01262(e),0,
EX_cpd01048(e),0,
EX_cpd04098(e),0,
EX_cpd00540(e),0,
EX_cpd11416_c,0,
EX_cpd11596(e),0,
EX_cpd00211(e),0,
EX_cpd00063(e),0,
EX_cpd00635(e),0,
EX_cpd01012(e),1000,
EX_cpd00098(e),0,
EX_cpd11595(e),0,
EX_cpd00137(e),0,
EX_cpd00099(e),0,
EX_cpd00011(e),1000,
EX_cpd00149(e),1000,
EX_cpd00058(e),1000,
EX_cpd01015(e),0,
EX_cpd01017(e),0,
EX_cpd00381(e),0,
EX_cpd00367(e),0,
EX_cpd00307(e),0,
EX_cpd00117(e),0,
EX_cpd00438(e),0,
EX_cpd00654(e),0,
EX_cpd00277(e),0,
EX_cpd03279(e),0,
EX_cpd00412(e),0,
EX_cpd00082(e),0,
EX_cpd00072(e),0,
EX_cpd00653(e),0,
EX_cpd00280(e),0,
EX_cpd00609(e),0,
EX_cpd00027(e),0,
EX_cpd00079(e),0,
EX_cpd00221(e),0,
EX_cpd01307(e),0,
EX_cpd00386(e),0,
EX_cpd00637(e),0,
EX_cpd00652(e),0,
EX_cpd00105(e),0,
EX_cpd00550(e),0,
EX_cpd11579(e),0,
EX_cpd00021(e),1000,
EX_cpd10516(e),1000,
EX_cpd03724(e),0,
EX_cpd00106(e),0,
EX_cpd00108(e),0,
EX_cpd00164(e),0,
EX_cpd11581(e),0,
EX_cpd11589(e),0,
EX_cpd00100(e),0,
EX_cpd00080(e),0,
EX_cpd00033(e),0,
EX_cpd00139(e),0,
EX_cpd15603(e),0,
EX_cpd11580(e),0,
EX_cpd11592(e),0,
EX_cpd15604(e),0,
EX_cpd11591(e),0,
EX_cpd15605(e),0,
EX_cpd11588(e),0,
EX_cpd15606(e),0,
EX_cpd00067(e),1000,
EX_cpd00001(e),1000,
EX_cpd00268(e),0,
EX_cpd11578(e),0,
EX_cpd00531(e),0,
EX_cpd00226(e),0,
EX_cpd00246(e),0,
EX_cpd03048(e),0,
EX_cpd00205(e),1000,
EX_cpd03091(e),0,
EX_cpd00035(e),0,
EX_cpd11585(e),0,
EX_cpd00224(e),0,
EX_cpd00051(e),0,
EX_cpd00132(e),0,
EX_cpd00041(e),0,
EX_cpd00395(e),0,
EX_cpd00084(e),0,
EX_cpd00023(e),0,
EX_cpd00053(e),0,
EX_cpd00119(e),0,
EX_cpd00121(e),0,
EX_cpd00322(e),0,
EX_cpd00159(e),0,
EX_cpd00107(e),0,
EX_cpd00039(e),0,
EX_cpd00130(e),0,
EX_cpd00060(e),0,
EX_cpd11576(e),0,
EX_cpd01914(e),0,
EX_cpd00066(e),0,
EX_cpd00129(e),0,
EX_cpd00054(e),0,
EX_cJB00034(e),0,
EX_cpd00161(e),0,
EX_cpd00065(e),0,
EX_cpd00069(e),0,
EX_cpd00156(e),0,
EX_cpd00308(e),0,
EX_cpd01329(e),0,
EX_cpd00179(e),0,
EX_cPY00016(e),0,
EX_cpd08023(e),0,
EX_cpd11590(e),0,
EX_cpd00254(e),1000,
EX_cpd00030(e),1000,
EX_cpd11574(e),0,
EX_cpd11575(e),0,
EX_cpd00971(e),1000,
EX_cpd00122(e),0,
EX_cpd00013(e),1000,
EX_cpd00244(e),1000,
EX_cpd00209(e),0,
EX_cpd00075(e),0,
EX_cpd00528(e),1000,
EX_cpd00007(e),20,
EX_cpd00064(e),0,
EX_cpd04097(e),0,
EX_cpd00009(e),1000,
EX_cPY00116(e),0,
EX_cpd00012(e),0,
EX_cpd00141(e),0,
EX_cpd00118(e),0,
EX_cpd00020(e),0,
EX_cpd00588(e),0,
EX_cpd00264(e),0,
EX_cpd00036(e),0,
EX_cpd00048(e),1000,
EX_cpd09878(e),0,
EX_cpd00210(e),0,
EX_cpd00305(e),0,
EX_cpd00184(e),0,
EX_cpd01242(e),0,
EX_cpd00851(e),0,
EX_cpd00092(e),0,
EX_cpd00073(e),0,
EX_cpd00249(e),0,
EX_cpd03424(e),0,
EX_cpd00423(e),0,
EX_cpd00309(e),0,
EX_cpd00306(e),0,
EX_cpd00154(e),0,
EX_cpd00034(e),1000,
rJB00275,0,
rJB00280,0,
rJB00281,0,
EX_cpd00331(e),0,
EX_cpd00089(e),0,
EX_cpd00314(e),0,
EX_cpd00380(e),0,
EX_cpd00581(e),0,
EX_cpd00281(e),0,